tkttype,lap_elm_type,lap_crt_session,lap_del_session,journey_date,brd_date,lap_cc_rt,lap_cc_qt,cls,remlocind,numnonveg,csfcls,prsidx,trnno,lap_src_code,lap_dstn_code,brdpt_code,resupto_code,newrcosoft_code,org_brdpt_code,org_resupto_code,booking_date,pnd_amt,name_elm_type,name_crt_session,name_del_session,sess_formid,sess_form_summary,vcprind,choice,resfee_0,cashbasefare,oldcashbasefare,concfr,duptktfare,oldcanfee_0,clerikage_0,oldcanfee_1,clerikage_1,status_0,acmqtind_0,stnqt_0,coachno_0,sb_type_0,coach_id_0,seat_no_0,cbn_no_0,racwlno_0,status_1,acmqtind_1,stnqt_1,coachno_1,sb_type_1,coach_id_1,seat_no_1,cbn_no_1,racwlno_1,n_status_0,n_acmqtind_0,n_stnqt_0,n_coachno_0,n_sb_type_0,n_seat_no_0,n_cbn_no_0,n_racwlno_0,n_status_1,n_racwlno_1,fare_elm_type,fare_crt_session,fare_del_session,fullrefund,fare_dist_0,fare_dist_1,rfndamt,payment_type,jrny_elm_type,jrny_crt_session,jrny_del_session,jrny_from,jrny_to,bpttrn_type,head_verno,head_elm_type,head_last_sess,head_nochart,head_expday,head_expmonth,head_numpsgn,head_canpsgn,rtr_txid,pnrflag,fi_earning,fi_refund,fi_concession,fi_txn_type,fi_tkt_mode,upg_choice,upg_yn,UC_STATUS_FLAG,Field4,REM_LOC_CODE,RS_QUOTA_CODE,berth_ctrl_stn,status_bkg_0,racwlno_bkg_0,TRNNO_OLD,Field8,ENCRYPTION 
S,3,1,0,4/3/2016,4/3/2016,0,0,2S ,0,0,-1,1,12110,MMR ,DR  ,MMR ,DR  ,0,MMR ,DR  ,3/31/2016,0,2,1,2,5,Can Full       ,0,99,15,90,0,0,0,0,0,60,0,CNF,0,-1,2,83,D2  ,86,8,CNF,CNF,0,-1,2,83,D2  ,86,8,CNF,NRO,0,0,0,0,0,0,NRO,CNF,CNF,5,1,0,0,252,0,0,C,8,1,0,MMR ,DR  ,-1,2,1,2,0,8,4,0,5,1308655626,0,60,60,0,C,G,Y,N,0,NKRSG ,MMR ,AA  ,MMR ,NRO,NRO,12110,SGN,824MD260MRS00S0R480086234
S,3,1,0,4/3/2016,4/3/2016,0,0,2S ,0,0,-1,1,12110,MMR ,DR  ,MMR ,DR  ,0,MMR ,DR  ,3/31/2016,0,2,1,2,5,Can Full       ,0,99,15,90,0,0,0,0,0,60,0,CNF,0,-1,2,83,D2  ,87,8,CNF,CNF,0,-1,2,83,D2  ,87,8,CNF,NRO,0,0,0,0,0,0,NRO,CNF,CNF,5,1,0,0,252,0,0,C,8,1,0,MMR ,DR  ,-1,2,1,2,0,8,4,0,5,1308655626,0,60,60,0,C,G,Y,N,0,NKRSG ,MMR ,AA  ,MMR ,NRO,NRO,12110,SGN,ABCDEFGHIJKLMNOPQRSTUV
